flight,date,start_time,end_time,wing_name,site_name,launch_name,launch_altitude,launch_orientation,landing_location,landing_altitude,vertical_drop,wind_speed,wind_direction,duration_hours,duration_minutes,total_airtime,max_altitude,altitude_gain,xc_miles,"comments",,,
36,7/4/07,,,Firebird Ignition,Mussel Rock,Walker,,,,,0,5-10,SSW,,7,4.53,,,,First Pacific flight... sunk out and landed on the beach!,,,
37,7/4/07,,,Firebird Ignition,Mussel Rock,Walker,,,,,0,5-10,SSW,,5,4.62,,,,Quick sled.  Landed on the trail parallel the beach.,,,
38,7/28/07,,,Firebird Ignition,Mussel Rock,Walker,,,,,0,7-12,SSW,,5,4.70,,,,"Chris Santacroce showed up!  Low wind, so I did a few sleds.",,,
39,7/29/07,,,Firebird Ignition,Mussel Rock,Walker,,,,,0,7-12,SSW,,3,4.75,,,,"Low wind, sled ride.",,,
40,7/30/07,,,Firebird Ignition,Mussel Rock,Walker,,,,,0,7-12,SSW,,3,4.80,,,,"Low wind, sled ride.",,,
41,7/31/07,,,Firebird Ignition,Mussel Rock,Walker,,,,,0,7-12,SSW,,3,4.85,,,,"Low wind, sled ride.",,,
42,9/9/07,,,Firebird Ignition,Mussel Rock,Walker,,,,,0,10-15,SSW,,3,4.90,,,,Had to swerve to avoid a ridge hog... sunk out.,,,
43,9/9/07,,,Firebird Ignition,Mussel Rock,Walker,,,,,0,10-15,SSW,,3,4.95,,,,Almost stayed up.,,,
44,9/9/07,,,Firebird Ignition,Mussel Rock,Walker,,,,,0,10-15,SSW,,15,5.20,,,,First flight staying up at Muscle rock!  Got lift off to the south.  Flew north by the cliffs.,,,
45,9/10/07,,,Firebird Ignition,Mussel Rock,Walker,,,,,0,10-15,W,,3,5.25,,,,Sunk out heading south.,,,
46,9/10/07,,,Firebird Ignition,Mussel Rock,Walker,,,,,0,10-15,W,,3,5.30,,,,Sunk out heading south.,,,
47,9/10/07,,,Firebird Ignition,Mussel Rock,Walker,,,,,0,10-15,W,,5,5.38,,,,Sunk out heading south.,,,
48,9/10/07,,,Firebird Ignition,Mussel Rock,Walker,,,,,0,10-15,W,,20,5.72,,,,Went north and got lift by the cliffs   Awesome flight.  Beach landed and watched the sunset! ,,,
49,9/14/07,,,Firebird Ignition,Mussel Rock,The Church,,,,,0,13-17,NW,1,20,7.05,,,,"1st top launch at Mussel Rock.  Stayed far out to stay safe.  Pulled big ears a few times to avoid sligh wind gradient.  Took a bunch of pictures on my phone.  Saw the golden gate bridge and watched the sunset over the ocean from the air.  Most amazing flight so far!  Bad landing, overshot LZ and ended up in the thorny bushes.  ",,,
50,9/15/07,,,Firebird Ignition,Mussel Rock,Walker,,,,,0,10,WNW,,10,7.22,,,,Barely enough wind to stay up.  Crossed the canyon and staying level.  Lost altitude on the way back and beach landed.,,,
51,9/15/07,,,Firebird Ignition,Mussel Rock,Walker,,,,,0,12-17,NW,1,0,8.22,,,,Awesome flight!  Went almost to the Stables but turned around to avoid fog.  Wind turned north while up.  Beach landed for fun.  Great views of the bay and the GG bridge!,,,
52,9/15/07,,,Firebird Ignition,Mussel Rock,Lemmings,,,,,0,17-20,NNW,,45,8.97,,,,Watched the sunset again from the sky!  Popped right up at the first bowl and stayed high and far out the whole time.  Vertical landing with full speed bar!  ,,,
53,9/16/07,,,Firebird Ignition,Mussel Rock,Walker,,,,,0,10-15,WNW,2,15,11.22,,,,Beautiful day!  Awesome flight with great winds!  Keith showed up towards the end and shot some video.  Flew almost to Funston and South past the parking lot.  ,,,
54,2/14/08,,,Firebird Ignition,Mussel Rock,Lemmings,,,,,0,5-10,NNW,,1,11.23,,,,Skimming ride almost to the beach.,,,
55,2/16/08,,,Firebird Ignition,Mussel Rock,Walker,,,,,0,10-15,WNW,,45,11.98,,,,"Beautiful flight... 20 or so others in the air.  Landed at sunset, the 3rd last in the air.  Took some nice pics.  Shawn moved into his house on the cliff today!  ",,,
56,4/27/08,,,Firebird Ignition,Half Moon Bay,Beach,0,,Park,30,-30,17-20,W,,3,12.03,,,,The infamous flight,,,
57,6/6/09,,,Firebird Ignition,Mussel Rock,Lemmings,,,,,0,15,W,1,30,13.53,,,,"Toshi called early this afternoon and said conditions were great at the Dumps.  He was right, it was an epic day, super smooth winds and super clear skies.  Got tons of awesome photos!  The view of the city was spectacular!  Great views of the GG bridge.",,,
58,6/6/09,,,Firebird Ignition,Mussel Rock,Lemmings,,,,,0,15,W,,15,13.78,,,,Smooth takeoff.  Touched back at Lemmings.,,,
59,6/6/09,,,Firebird Ignition,Mussel Rock,Lemmings,,,,,0,15,W,,15,14.03,,,,Touch and go.  Great kiting up the trail to Lemmings where I took off again.,,,
60,6/6/09,,,Gin Zulu (DHV 1-2),Mussel Rock,Lemmings,,,,,0,15,W,,10,14.20,,,,Noticed left risers were twisted shortly after takeoff.  Landed to fix it.  Nice spot landing on Lemmings.,,,
61,6/6/09,,,Gin Zulu (DHV 1-2),Mussel Rock,Lemmings,,,,,0,15,W,,25,14.62,,,,Nice flight on Toshi's wing.  Got some great pictures.  Noticed the wing was more stable - harder to crab and more resistant to pitch shift.  Landed in the gravel pit (though I was going for Lemmings),,,
62,6/6/09,,,Firebird Ignition,Mussel Rock,Walker,,,,,0,15,W,,30,15.12,,,,"Finished off the day with a beautiful flight, landing at sunset.  Great landing at the gravel pit.  ",,,
63,6/7/09,,,Firebird Ignition,Mussel Rock,Tomcat,,,,,0,8-13,W,1,0,16.12,,,,Another beautiful day at Pacifica!  First launch from Tomcat.  Landed near Lemmings and saw Arnel for the first time since Half Moon Bay.,,,
64,6/7/09,,,Firebird Ignition,Mussel Rock,Lemmings,,,,,0,10-13,W,1,20,17.45,,,,"Flew down by the Dunes, then back to the Dumps.  Great, long flight.  Tracked with GPS.",,,
65,6/7/09,,,Firebird Ignition,Mussel Rock,Lemmings,,,,,0,10-15,W,,30,17.95,,,,"Flew over to Tomcat, then sunk out on my way back.  Landed near the gravel pit.  Tracked with GPS.",,,
66,6/7/09,,,Firebird Ignition,Mussel Rock,Lemmings,,,,,0,10-15,WNW,,33,18.50,,,,Last one out of the air.  Good landing at the gravel pit.  Watched a spectacular sunset as I walked back to the car.  Tracked with GPS.,,,
67,10/26/15,,,Gin Atlas XS,The Point,South,,,,,0,,,,45,19.25,,,,"Great ridge soaring in the morning, getting back on the saddle. Refresher instruction from Santacroce.",,,
68,10/26/15,,,Gin Atlas XS,The Point,South,,,,,0,,,,2,19.28,,,,Sled ride. Forward launch.,,,
69,10/26/15,,,Gin Atlas XS,The Point,South,,,,,0,,,,1,19.30,,,,Side hill launch and land.,,,
70,10/26/15,,,Gin Atlas XS,The Point,South,,,,,0,,,,1,19.32,,,,Side hill launch and land.,,,
71,10/26/15,,,Gin Atlas XS,The Point,South,,,,,0,,,,1,19.33,,,,Side hill launch and land. Kiting practice on a speed wing in the afternoon.,,,
72,10/26/15,,,Gin Atlas XS,The Point,South,,,"Top, south side",,0,,,,45,20.08,,,,"Great soaring. Crowded. Assisted launch from side hill, at top. Top landing. ",,,
73,10/26/15,,,Gin Atlas XS,The Point,South,,,"Top, south side",,0,,,,15,20.33,,,,Touch and go. Santacroce instructing on radio.,,,
74,10/26/15,,,Gin Atlas XS,The Point,South,,,Bottom,,0,,,,15,20.58,,,,Rougher conditions. Pulled big ears a couple times. Smooth landing at bottom. ,,,
75,11/4/15,3:40 PM,3:45 PM,Gin Atlas XS,Mussel Rock,Tomcat,,,Road,,0,9-12,NW,,5,20.67,,,,First flight in new harness. Smooth launch from Tomcat. Sunk out and landed on road.,,,
76,11/4/15,4:00 PM,4:50 PM,Gin Atlas XS,Mussel Rock,Walker,,,Road,,0,10-15,NW,,50,21.50,650,,,Easy launch from Walker. Picked me up immediately. Really lifty the whole flight. Had to pull big ears a couple times before landing near the gravel pit. Landed cross-wind as I was aiming down the road. Could be improved.,,,
77,11/7/15,3:45 PM,3:47 PM,Gin Atlas XS,Mussel Rock,Walker,,,Beach,,0,3-6,NW,,2,21.53,,,,Sled to the beach. Nice landing at low tide.,,,
78,11/7/15,4:10 PM,4:12 PM,Gin Atlas XS,Mussel Rock,Walker,,,Beach,,0,3-6,NW,,2,21.57,,,,Second sled to the beach. Probably came too close to the bowl for how north the wind was. Better be more careful of rotors.,,,
79,11/8/15,3:30 PM,4:35 PM,Gin Atlas XS,Mussel Rock,Cheetah,,,Beach,,0,10-12 ,W,1,5,22.65,,,,"Smooth winds. Great soaring. Wanted to cross over the death bowl to the Dumps, but decided not to, probably for the best. Pilots flying over the Dumps said it was really shifty there, and Mark got sucked up to +2000', so probably best I dated put. Beach landing. Should have given myself more room, landed close to rocks at south end. ",,,
80,11/11/15,3:10 PM,3:11 PM,Gin Atlas XS,Mussel Rock,Tomcat,,,Road,,0,10,NW,,1,22.67,,,,Glider landed in the bushes. Need to clean out.,,,
81,11/11/15,3:44 PM,3:45 PM,Gin Atlas XS,Mussel Rock,Tomcat,,,Road,,0,7,NW,,1,22.68,,,,Managed to set the wing down in the road. ,,,
82,11/11/15,4:00 PM,4:01 PM,Gin Atlas XS,Mussel Rock,Tomcat,,,Road,,0,7,NW,,1,22.70,,,,Lost altitude during turn. Set wing down in the weeds again.,,,
83,11/11/15,4:19 PM,4:20 PM,Gin Atlas XS,Mussel Rock,Tomcat,,,Road,,0,7,NNW,,1,22.72,,,,"Better landing, kited up the road a ways towards Walker.",,,
84,11/11/15,4:45 PM,4:47 PM,Gin Atlas XS,Mussel Rock,Walker,,,Beach,,0,5-8,NNW,,2,22.75,,,,Quick sled to the beach. Landed just before sunset.,,,
85,11/12/15,2:45 PM,2:46 PM,Gin Atlas XS,Mussel Rock,Tomcat,,,Road,,0,8-11,NNW,,1,22.77,,,,Sledding with Adam.,,,
86,11/12/15,3:01 PM,3:02 PM,Gin Atlas XS,Mussel Rock,Tomcat,,,Road,,0,8-11,NNW,,1,22.78,,,,Sledding with Adam.,,,
87,11/12/15,3:20 PM,3:21 PM,Gin Atlas XS,Mussel Rock,Tomcat,,,Road,,0,8-11,NNW,,1,22.80,,,,"Bad take off. I think I caught a kiter's wake. Held it together and landed on the road, a bit short of the target.",,,
88,11/12/15,3:43 PM,3:45 PM,Gin Atlas XS,Mussel Rock,Lemmings,,,Beach,,0,8-11,NNW,,2,22.83,,,,"Landed on the beach just past Dave, who was flying a tandem. Oh, yeah. ",,,
89,11/12/15,4:18 PM,4:20 PM,Gin Atlas XS,Mussel Rock,Walker,,,Beach,,0,8-11,NNW,,2,22.87,,,,"Rough kiting, then smooth sledder to the beach.",,,
90,11/12/15,4:48 PM,4:50 PM,Gin Atlas XS,Mussel Rock,Walker,,,Beach,,0,8-11,NNW,,2,22.90,,,,"Adam passed me on the outside, just a bit lower than me as we were approaching landing on the beach. Landed right next to him. Packed up just before sunset. Pretty awesome for an afternoon of sledding.",,,
91,11/14/15,1:55 PM,3:00 PM,Gin Atlas XS,Mussel Rock,Walker,,,Lemmings,,0,6-9,W,1,5,23.98,,,,"Kited to the top of Walker, took off and worked the cliffs to the north until I was soaring way up at the level of the highest cliff. Super smooth soaring. Snapped a few photos. Wanted to try a top landing at Walker, but wind looked too South. Good landing a bit cross-wind, just below Lemmings. ",,,
92,11/14/15,3:45 PM,4:05 PM,Gin Atlas XS,Mussel Rock,Coyote,,,Lemmings,,0,5-8,WSW,,20,24.32,,,,First time launching from Coyote. Bad kiting on first try; smooth launch on second. Caught plenty of lift by the cliffs to the north. I was the last to stay up. Came in a bit low and landed below lemmings. Met up with Annie and the watched the sunset on the beach with her. Good day.,,,
93,11/17/15,4:30 PM,4:32 PM,Gin Atlas XS,Mussel Rock,Tomcat,,,Gravel pit,,0,10-15,NW,,2,24.35,,,,Got picked and almost pushed back. Late putting on speed bar. Got bounced around quite a bit. Had to pull big ears to land. Got lucky and touched down softly in the ice plants. ,,,
94,11/21/15,9:40 AM,9:42 AM,Gin Atlas XS,Ed Levin,300',,,Bull's eye,,0,2,SW,,2,24.38,,,,Smooth launch in no wind. Landed near bull's eye.,,0.3666666667,
95,11/21/15,10:20 AM,10:24 AM,Gin Atlas XS,Ed Levin,600',,,Bull's eye,,0,2,SW,,4,24.45,,,,First flight from 600'. Smooth launch. Landed near bull's eye. ,,,
96,11/21/15,10:43 AM,10:47 AM,Gin Atlas XS,Ed Levin,600',,,LZ,,0,2,SW,,4,24.52,,,,Landed away from bull's eye to avoid another paraglider coming in. Ran and kited all the way to the road.,,,
97,11/21/15,11:36 AM,11:42 AM,Gin Atlas XS,Ed Levin,600',,,LZ,,0,5,SW,,6,24.62,,,,"Deflated on first launch attempt. Second attempt successful but could have been smoother. Caught some thermals, longest flight yet at Ed. ",,,
98,11/21/15,12:21 PM,12:27 PM,Gin Atlas XS,Ed Levin,600',,,LZ,,0,5,SW,,6,24.72,,,,"Deflated again on first attempt. Need to keep moving forward to correct. Good flight, caught some lift near 300' launch. Good landing a bit short of the circle.",,,
99,12/12/15,2:00 PM,2:01 PM,Gin Atlas XS,Mussel Rock,Walker,,,Gravel pit,,0,7-8,WNW,,1,24.73,,,,"Sledder to the gravel pit. Maybe could have stayed up, but there was no beach. ",,,
100,12/12/15,2:15 PM,3:45 PM,Gin Atlas XS,Mussel Rock,Walker,,,Gravel pit,,0,8-12,WNW,1,30,26.23,,,,"Best flight in my new rig. Easy soaring, all the way past the stables, to the pylons. Really lifty when I landed at the gravel pit. Did some extra S turns and did a perfect spot landing.",,,
101,1/16/16,10:00 AM,10:04 AM,Gin Atlas XS,"Haleakala, Maui",Echoes,4600,NE,lz,3500,1100,2-3,W,,4,26.30,,,,"First flight from training hill, and first flight with my new GoPro Session. Site intro from Vin. Forward launch, very smooth. Caught some good lift on the way down. Subj pretty quick before landing. Good flare. Landed in the tall grass. ",https://youtu.be/idm07GoeCQs,1.05,
102,1/16/16,11:00 AM,11:04 AM,Gin Atlas XS,"Haleakala, Maui",Echoes,4600,NE,lz,3500,1100,2-3,W,,4,26.37,,,,"Smooth forward launch. Didn't catch much lift until I was close to the LZ. Fairly bumpy there. Came pretty close to the trees on the last turn. Turned out fine, landing in the mowed grass.",https://youtu.be/C9mVOvJ1EF8,,
103,1/17/16,10:47 AM,11:00 AM,Gin Atlas XS,"Haleakala, Maui",Ferns,6500,NE,lz,3500,3000,2-3,NW,,13,26.58,,,,,,,
104,1/17/16,11:23 AM,11:37 AM,Gin Atlas XS,"Haleakala, Maui",Ferns,6500,NE,lz,3500,3000,2-3,NW,,14,26.82,,,,,,,
105,1/18/16,10:10 AM,10:11 AM,Gin Atlas XS,"Haleakala, Maui",Ferns,6500,NE,Ferns,3500,3000,1-3,NW,,1,26.83,,,,"Aborted launch. Sat back way too early when I should have kept running. Brushed the flag on way down. Soft touchdown, luckily.",,,
106,1/18/16,10:15 AM,,Gin Atlas XS,"Haleakala, Maui",Ferns,6500,NE,lz,3500,3000,2-3,NW,,11,27.02,,,,"Launch went well. Had trouble finding any thermals. No wind at lz. Sunk really quick on landing and ended up biffing it face first in the tall grass. Hurt my wrist a bit, but mostly just hurt my ego.",,,
107,1/18/16,11:34 AM,11:50 AM,Gin Atlas XS,"Haleakala, Maui",Ferns,6500,NE,lz,3500,3000,2-3,NW,,16,27.28,,,,"Excellent flight, probably the best here so far. Caught some good thermals and stayed up for a while. Fairly turbulent and clouds were forming, so I pulled big ears to come down. Soft landing, overshot by a bit.",,,
108,1/24/16,1:40 PM,1:43 PM,Gin Atlas XS,Mussel Rock,Walker,,,Saddle,,0,5-7,W,,3,27.33,,,,"Maybe could have stayed up, but no beach, so landed in the Saddle.",,,
109,1/24/16,2:03 PM,3:10 PM,Gin Atlas XS,Mussel Rock,Coyote,,,Lemmings,,0,7-10,WNW,1,7,28.45,,,,Good moderate wind launch from Coyote. Flew all the way past Fort Funston for the first time. Got cold and landed at Lemmings after overshooting the first time.,,,
110,1/24/16,4:00 PM,5:00 PM,Gin Atlas XS,Mussel Rock,Lemmings,,,Saddle,,0,8-12,WNW,1,0,29.45,,,,"Rough kiting at Lemmings before giving up, inflating at the Saddle, kiting up to Lemmings for launch. Really lifty. Flew past Funston again. Monica showed up while I was in the air. Overshot the landing a couple times. Good spot landing on third try. Made out with Monica after landing. ",,,
111,1/30/16,,,Gin Atlas XS,Mussel Rock,Lemmings,,,Saddle,,0,12-16,WNW,,12,29.65,,,,,,,
112,1/30/16,,,Gin Atlas XS,Mussel Rock,Lemmings,,,Saddle,,0,12-16,WNW,,8,29.78,,,,,,,
113,1/30/16,,,Gin Atlas XS,Mussel Rock,Lemmings,,,Saddle,,0,12-16,WNW,,32,30.32,,,,,,,
114,1/30/16,,,Gin Atlas XS,Mussel Rock,Lemmings,,,Saddle,,0,12-16,WNW,,25,30.73,,,,,,,
115,1/30/16,4:53 PM,5:00 PM,Gin Atlas XS,Mussel Rock,Lemmings,,,Gravel pit,,0,12-16,WNW,,7,30.85,,,,,,,
116,2/14/16,11:08 AM,,Gin Atlas XS,"Tapalpa, MX",Gravidad Zero,6950,E,Primary LZ,4365,2585,,ENE,,9,31.00,6934,0,2.5,Good low wind reverse launch. Sledder to the LZ.,,8.5,
117,2/14/16,1:03 PM,,Gin Atlas XS,"Tapalpa, MX",Gravidad Zero,6950,E,Primary LZ,4365,2585,,ENE,1,15,32.25,7913,952,2.5,"Need to work on checking glider during launch. Third try good launch. Caught good thermals for a nice long flight. Started to spiral a couple times. Hands up, recovered well. Good landing, set up perfectly.",,,
118,2/14/16,4:01 PM,,Gin Atlas XS,"Tapalpa, MX",Gravidad Zero,6950,E,Primary LZ,4365,2585,,ENE,,31,32.77,7150,115,2.5,Was about to come in when I caught a good thermal and got way up 100' above launch. Nice smooth turns in the thermals. Great flight. Great landing. Harry met me at the LZ with an ice cold beer. Aaahhh.,,,
119,2/15/16,11:34 AM,11:56 AM,Gin Atlas XS,"Tapalpa, MX",Gravidad Zero,6950,E,Primary LZ,4365,2585,,ENE,,22,33.13,7291,277,2.5,Great flight to start the day. Caught good lift at the beginning then lost the thermal. Really smooth landing just a bit short of the corner of the field.,,,
120,2/15/16,2:05 PM,,Gin Atlas XS,"Tapalpa, MX",Gravidad Zero,6950,E,Primary LZ,4365,2585,,,1,57,35.08,9434,2357,2.5,Probably my best flight yet. Super good thermals. Got past 9k' probably 3 times. Adam meet me at LZ with a beer. What a good day.,,,
121,2/16/16,12:20 PM,,Gin Atlas XS,"Tapalpa, MX",Gravidad Zero,6950,E,Primary LZ,4365,2585,,,,20,35.42,6950,0,2.5,Sledder to LZ. Smooth landing. Nice way to start the day.,,,
122,2/16/16,1:42 PM,,Gin Atlas XS,"Tapalpa, MX",Gravidad Zero,6996,E,Pasture on the way to Los Espinosa,,6996,,,1,11,36.60,10345,3349,6.1,"Most epic yet. Watched Adam take an asymmetric frontal collapse, recover like a boss, and then go on to ride a thermal way up above launch. I wasn't getting much lift, so I followed Adam and finally got back above launch. More thermals right above the ridge. Worked them up to 9,100' then headed out towards Frontera. Caught really good thermal above brown fields, rode it to 10,345’ then headed on towards Tapalpa. Hit a lot of sink over Frontera and (I found out later) took a wrong turn while trying to stay over the open fields, started heading toward Los Espinos. Set up a landing but then caught another thermal which I rode up about 1,000' and headed on a bit further before sinking out. Set up landing into the wind, avoiding barbed wire fences. S turns over a building in construction then touched down in a pasture by the road to Los Espinos. Hitchhiked back to Tapalpa.",,,
123,2/17/16,12:30 PM,,Gin Atlas XS,"Colima, MX",La Cumbre,2535,SW,El piano,1735,800,5-7,SW,,39,37.25,3428,893,1.3,"Still rough on launch. Caught good thermals to almost 900' above launch. Wanted to get higher before trying for the soccer field, but sunk out. Caught a couple more thermals but couldn't regain altitude. Really smooth moderate wind landing at the piano, right next to Adam. ",,,
124,2/18/16,12:40 PM,,Gin Atlas XS,"Tapalpa, MX",Gravidad Zero,6852,E,Brambles/Mesquite/Tecojote,,6852,,NE,,32,37.78,6881,28,1.9,"Maintained altitude for a while working the thermals down low. Ventured out over the fields to find a stronger one but hit a bunch of sink instead. Tried to work some small thermals when I was way too low. Realized I want going to be able to clear the first power lines and it didn't seem like I'd be able to reach the alternate LZ, so I had to pick a spot in a relatively clear area. Had light headwind and small thermals kept lifting me up, and I also realized later that the terrain was sloping downward so I was probably going to overshot the clearing and run into a stable, so I made a last second 180 turn. Was almost through the turn when I hit the ground, just a few feet from a big rock, and then my canopy draped over the top of two mesquite thorn trees. Somehow I only got a small scratch on my ankle during impact and a couple on my hands while retrieving my wing and only a tiny, less than a quarter inch tear at the trailing edge of my wing. Miguel and Jose arrived with a hand saw and helped me finish pulling my wing out of the thorns. Bought everyone lunch in Sayula.",,,
125,2/19/16,11:35 AM,,Gin Atlas XS,"Tapalpa, MX",Gravidad Zero,6833,E,Primary LZ,4365,2468,2-3,ENE,,23,38.17,6872,39,2.8,"Smooth takeoff on second attempt. Thermals were kinda rough, barely sufficient to maintain altitude. Hoped to catch some thermals over the fields, but it was super smooth instead. Enjoyed the view and checked out yesterday's landing area as I coasted down to the LZ. Super smooth landing, ran the wing all the way to the corner. Had a nice conversation with a worker who saw me land and came over to ask about it. ",,,
126,2/19/16,3:02 PM,,Gin Atlas XS,"Tapalpa, MX",Gravidad Zero,6933,E,Primary LZ,4365,2568,2-3,ENE,,55,39.08,8962,2029,2.8,"Great flight! Hit lots of sink until I was past the knobs. Caught one good thermal that took me all the way up to 8900'. Couldn't get high enough to decide to go past the ridge. Lots of sink as I went back out to where Adam was riding a thermal going up fast. Rode it up to about 7000' but couldn't find another thermal and I noticed there was a strong headwind going towards the LZ, so I started that way. Got good video from above of Adam landing as I coasted down in smooth wind. Gusty and thermic close to the ground, but had a really smooth landing and kitted to the corner. A truck full of workers cheered me on as I let the wing down. Oh yeah.",,,
127,2/20/16,12:34 PM,,Gin Atlas XS,"Tapalpa, MX",Gravidad Zero,6902,E,Primary LZ,4365,2537,1-2,ENE,,16,39.35,6902,0,2.8,Great sledder to wrap up Mexico. Nice controlled low wind launch. Couldn't quite stay in the thermals so I coasted in smooth air down to the piano. Watched Adam land then touched down and kited over to the corner. Hitched a ride with Alfonso back to Guadalajara.,,,
128,3/18/16,3:50 PM,4:25 PM,Gin Atlas XS,Mussel Rock,Walker,,,Saddle,,0,10-12,W,,35,39.93,,,,Easy up from Walker. Super smooth air. Flew up to the stables and south past the death bowl. Lots of S turns behind the gravel pit before landing in the saddle. ,,,
129,3/18/16,4:50 PM,5:25 PM,Gin Atlas XS,Mussel Rock,Lemmings,,,Saddle,,0,12-14,W,,35,40.52,,,,Good launch from Lemmings. Super smooth and lifty. Nice set up and landing with controlled kiting in the saddle. ,,,
130,3/18/16,5:50 PM,6:25 PM,Gin Atlas XS,Mussel Rock,Lemmings,,,Gravel pit,,0,12-14,W,,35,41.10,,,,"Kited up from the saddle. Practiced big ears a couple times, caught it on video. Did a really nice touch and go on Lemmings. Set up landing really well in the gravel pit. Gorgeous day!",,,
131,3/29/16,5:00 PM,5:01 PM,Gin Atlas XS,Mussel Rock,Walker,,,Saddle,,0,5-8,WNW,,1,41.12,,,,"Lots of low-wind kiting practice in the gravel pit, then a sledder from Walker. ",,,
132,3/29/16,5:30 PM,5:31 PM,Gin Atlas XS,Mussel Rock,Walker,,,Saddle,,0,5-8,WNW,,1,41.13,,,,Another sledder from Walker.,,,
